KINDCODE,DAMAGEDATE,REPORTDATE,ENDCASEDATE,inc,policycode,claimcode
三者险,02MAY2015:08:45:00,02MAY2015:08:50:00,01JUN2015:17:30:19,0,P640,C197
车损险,16MAY2015:17:00:00,17MAY2015:17:24:00,19MAY2015:14:48:46,490,P705,C198
车损险,27MAY2015:13:50:00,27MAY2015:14:14:00,27MAY2015:16:24:35,1200,P697,C199
车损险,29MAY2015:09:10:00,29MAY2015:13:15:00,29MAY2015:14:44:13,490,P705,C200
车损险,30MAY2015:14:35:00,30MAY2015:14:45:00,31MAY2015:09:04:59,600,P630,C201
车损险,01JUN2015:08:50:00,01JUN2015:09:23:00,01JUN2015:21:48:15,1700,P698,C202
车损险,02JUN2015:16:30:00,02JUN2015:19:11:00,03JUN2015:16:07:36,1260,P646,C203
划痕险,12JUN2015:08:00:00,12JUN2015:10:17:00,12JUN2015:10:53:44,1700,P620,C204
车损险,11JUN2015:19:30:00,12JUN2015:11:52:00,12JUN2015:13:33:04,1050,P667,C205
三者险,11JUN2015:19:30:00,12JUN2015:11:52:00,12JUN2015:13:33:04,0,P667,C205
车损险,11JUN2015:15:00:00,11JUN2015:15:37:00,18JUN2015:15:34:01,3300,P689,C206
三者险,11JUN2015:15:00:00,11JUN2015:15:37:00,18JUN2015:15:34:01,2800,P689,C206
车损险,15JUN2015:05:50:00,15JUN2015:06:02:00,10JUL2015:15:44:31,1750,P629,C207
三者险,15JUN2015:05:50:00,15JUN2015:06:02:00,10JUL2015:15:44:31,0,P629,C207
车损险,20JUN2015:14:15:00,20JUN2015:14:19:00,20JUN2015:16:23:37,0,P724,C208
车损险,25JUN2015:23:25:00,26JUN2015:13:42:00,26JUN2015:20:52:09,525,P700,C209
三者险,07JUL2015:13:40:00,07JUL2015:13:51:00,07JUL2015:22:54:16,400,P700,C210
车损险,07JUL2015:13:40:00,07JUL2015:13:51:00,07JUL2015:22:54:16,1700,P700,C210
车损险,09JUL2015:10:10:00,09JUL2015:10:17:00,09JUL2015:17:28:21,1200.52,P714,C211
三者险,09JUL2015:10:10:00,09JUL2015:10:17:00,09JUL2015:17:28:21,0,P714,C211
车损险,10JUL2015:20:55:00,10JUL2015:21:25:00,11JUL2015:01:18:56,0,P726,C212
玻璃破碎险,16JUL2015:08:15:00,16JUL2015:15:15:00,16JUL2015:17:23:48,650,P620,C213
车损险,20JUL2015:08:35:00,20JUL2015:08:38:00,20JUL2015:13:28:42,1500,P673,C214
车损险,22JUL2015:09:00:00,22JUL2015:09:16:00,22JUL2015:13:48:03,900,P691,C215
三者险,20JUL2015:20:00:00,22JUL2015:14:35:00,22JUL2015:16:10:59,0,P706,C216
车损险,20JUL2015:20:00:00,22JUL2015:14:35:00,22JUL2015:16:10:59,450,P706,C216
车损险,18JUL2015:17:50:00,18JUL2015:17:55:00,19AUG2015:16:57:25,3750,P665,C217
三者险,18JUL2015:17:50:00,18JUL2015:17:55:00,19AUG2015:16:57:25,2000,P665,C217
车损险,31JUL2015:07:30:00,31JUL2015:16:14:00,31JUL2015:17:27:23,1300,P723,C218
三者险,28JUL2015:11:20:00,28JUL2015:11:57:00,02AUG2015:15:03:53,0,P623,C219
车损险,28JUL2015:11:20:00,28JUL2015:11:57:00,02AUG2015:15:03:53,850,P623,C219
车损险,02AUG2015:13:15:00,02AUG2015:13:19:00,02AUG2015:15:18:39,600,P658,C220
车损险,02AUG2015:14:15:00,02AUG2015:14:35:00,04AUG2015:08:51:34,1600,P630,C221
三者险,02AUG2015:14:15:00,02AUG2015:14:35:00,04AUG2015:08:51:34,0,P630,C221
车损险,06AUG2015:07:38:00,06AUG2015:07:49:00,21AUG2015:10:06:15,7450,P726,C222
三者险,06AUG2015:07:38:00,06AUG2015:07:49:00,21AUG2015:10:06:15,38400,P726,C222
划痕险,09AUG2015:08:30:00,09AUG2015:10:40:00,09AUG2015:12:17:38,1700,P626,C223
车损险,12AUG2015:14:50:00,12AUG2015:15:14:00,13AUG2015:09:13:02,1100,P660,C224
车损险,07AUG2015:10:40:00,10AUG2015:09:08:00,25AUG2015:15:52:53,900,P613,C225
车损险,25AUG2015:10:00:00,25AUG2015:15:14:00,25AUG2015:16:28:51,700,P627,C226
划痕险,25AUG2015:09:00:00,25AUG2015:14:29:00,26AUG2015:01:43:54,1700,P670,C227
车损险,26AUG2015:15:40:00,26AUG2015:15:47:00,26AUG2015:18:20:53,700,P677,C228
车损险,09SEP2015:15:30:00,09SEP2015:15:47:00,09SEP2015:17:07:37,1100,P654,C229
三者险,15SEP2015:11:55:00,15SEP2015:12:59:00,20SEP2015:11:09:08,0,P806,C230
